CODE,TITLE,DATE
CLAP,CLASSIC PUNISHER,1989
CLAWS,CLAWS,2006
CLGF,CHALLENGERS OF THE FANTASTIC,1996
CLNCON,CLONE CONSPIRACY,2016-2017
CLNCON:O,CLONE CONSPIRACY: OMEGA,2017
CLYSM,CATACLYSM,2013
CLYSM:ULTCSM,CATACLYSM: ULTIMATE COMICS SPIDER-MAN,2014
CLYSM:ULTCULTS,CATACLYSM: ULTIMATE COMICS ULTIMATES,2014
CLYSM:ULTCXM,CATACLYSM: ULTIMATE COMICS X-MEN,2014
CLYSM:ULTSLS,CATACLYSM: ULTIMATES' LAST STAND,2014
CM,CAPTAIN MARVEL,1968-1979
CM2,CAPTAIN MARVEL VOL. 2,1995-1996
CM3,CAPTAIN MARVEL VOL. 3,1999-2002
CM4,CAPTAIN MARVEL VOL. 4,2002-2004
CM5,CAPTAIN MARVEL VOL. 5,2008
CM6,CAPTAIN MARVEL VOL. 6 (EARTH'S MIGHTIEST HERO),2012-2014
CM7,CAPTAIN MARVEL VOL. 7,2014-2015
CM8,CAPTAIN MARVEL VOL. 8,2016-2017
CM9,CAPTAIN MARVEL VOL. 9,2019-
CM GSSPEC,CAPTAIN MARVEL GIANT-SIZE SPECIAL,1989
CM&CRLCORPS,CAPTAIN MARVEL & CAROL CORPS,2015
CM:B&M,CAPTAIN MARVEL: BRAVER & MIGHTIER,2019
CM:FYM,CAPTAIN MARVEL: FREE YOUR MIND,1994
CMASS,CRITICAL MASS,1989-1990
CMPLTC,COMPLETE COMICS,1944
CMPLTM,COMPLETE MYSTERY,1948-1949
CN:FARM,CODENAME: FIREARM,1995
CN:GENE,CODENAME: GENETIX,1993
CN:SFIRE,CODENAME: SPITFIRE,1987
CO,CONAN,1995-1996
CO:DCIG,CONAN: DEATH COVERED IN GOLD,1999
CO:F&F,CONAN: FLAME AND THE FIEND,2000
CO:LOTS,CONAN: LORD OF THE SPIDERS,1998
CO:ROB,CONAN: RIVER OF BLOOD,1998
CO:ROOT,CONAN: THE RAVAGERS OUT OF TIME,1992
CO:ROS,CONAN: RETURN OF STYRM,1998
CO:SCRS,CONAN: SCARLET SWORD,1998-1999
COA,CONAN THE ADVENTURER,1994-1995
COB,CONAN THE BARBARIAN,1970-1993
COB2,CONAN THE BARBARIAN VOL. 2,1997
COB:CIM,CONAN THE BARBARIAN: CRAWLER IN THE MISTS,1975
COB:EXODUS,CONAN THE BARBARIAN: EXODUS,2019
COB:HOA,CONAN THE BARBARIAN: HORN OF AZOTH GN,1990
COB:U,CONAN THE BARBARIAN: THE USURPER,1997-1998
COCHILLS,CHAMBER OF CHILLS,1972-1976
COC,CONTEST OF CHAMPIONS,2015-2016
COCII,CONTEST OF CHAMPIONS II,1999
CODNESS,CHAMBER OF DARKNESS,1969-1970
COH,CODE OF HONOR,1997
COK,CONAN THE KING,1984-1989
COL,COLOSSUS,1997
COMBO,COMBO MAN,1996
COMEDYC,COMEDY COMICS,1942-1946
COMEDYC2,COMEDY COMICS VOL. 2,1948-1950
COMET,COMET MAN,1987
CONSPIRACY,CONSPIRACY,1998
CORG,CONAN THE ROGUE GN,1991
CORUNE,CURSE OF RUNE,1994-1995
COSAGA,CONAN SAGA,1987-1995
COSAV,CONAN THE SAVAGE,1995-1996
COTL,CREATURES ON THE LOOSE,1971-1975
COV,CHILDREN OF THE VOYAGER,1993
COV.RUNE,CONAN VS. RUNE,1995
CP,COSMIC POWERS,1994
CPU,COSMIC POWERS UNLIMITED,1995-1996
CRASHC,CRASH COMICS,1940
CRAZY3,CRAZY VOL. 3 (MAGAZINE),1973-1983
CREW,CREW,2003-2004
CRIMECNTWN,CRIME CAN'T WIN,1950-1952
CRIMEF,CRIMEFIGHTERS,1948-1949
CRNG,CARNAGE,2010-2011
CRNG2,CARNAGE VOL. 2,2016-2017
CRNG:MB,CARNAGE: MIND BOMB,1996
CRNG:WL,CARNAGE: IT'S A WONDERFUL LIFE,1996
CRNGUSA,CARNAGE U.S.A.,2012
CRSM:BLD,CURSE OF THE MUTANTS: BLADE,2010
CRSM:S&B,CURSE OF THE MUTANTS: SMOKE & BLOOD,2010
CRSM:STORM&GAM,CURSE OF THE MUTANTS: STORM & GAMBIT,2010
CRSM:XV.V,CURSE OF THE MUTANTS: X-MEN VS. VAMPIRES,2010
CRYS,CRYSTAR,1983-1985
CSAV,CAPTAIN SAVAGE,1968-1970
CU/DD,CAPTAIN UNIVERSE/DAREDEVIL,2006
CU/H,CAPTAIN UNIVERSE/HULK,2006
CU/INVW,CAPTAIN UNIVERSE/INVISIBLE WOMAN,2006
CU/SS,CAPTAIN UNIVERSE/SILVER SURFER,2006
CU/X-23,CAPTAIN UNIVERSE/X-23,2006
CV,CITIZEN V AND THE V BATTALION,2001
CV2,CITIZEN V AND THE V BATTALION VOL. 2 (EVERLASTING),2002
CW,CIVIL WAR,2006-2007
CW2,CIVIL WAR VOL. 2,2015
CW:BDR,CIVIL WAR: BATTLE DAMAGE REPORT,2007
CW:C,CIVIL WAR: CONFESSION,2007
CW:CS,CIVIL WAR: CHOOSING SIDES,2006-2007
CW:FL,CIVIL WAR: FRONT LINE,2006-2007
CW:I,CIVIL WAR: INITIATIVE,2007
CW:R,CIVIL WAR: RETURN,2007
CW:WC,CIVIL WAR: WAR CRIMES,2007
CW:X,CIVIL WAR: X-MEN,2006
CW:YA/RUN,CIVIL WAR: YOUNG AVENGERS/RUNAWAYS,2006
CWII,CIVIL WAR II,2016-2017
CWII:ASM,CIVIL WAR II: AMAZING SPIDER-MAN,2016
CWII:CS,CIVIL WAR II: CHOOSING SIDES,2016
CWII:GOW,CIVIL WAR II: GODS OF WAR,2016
CWII:K,CIVIL WAR II: KINGPIN,2016
CWII:OATH,CIVIL WAR II: THE OATH,2017
CWII:ULY,CIVIL WAR II: ULYSSES,2016
CWII:X,CIVIL WAR II: X-MEN,2016
CX,CLASSIC X-MEN,1986-1995
CY,CYCLOPS,2001-2002
CY3,CYCLOPS VOL. 3,2014-2015
CYBER,CYBERSPACE 3000,1993-1994
CYBERFORCE,CYBERFORCE,1993-1997
CYBLADE/GR,CYBLADE/GHOST RIDER,1997
D.P.7,D.P.7,1986-1989
D:LU,DRACULA: LORD OF THE UNDEAD,1998
DA,DARK AVENGERS,2009-2010
DA2,DARK AVENGERS VOL. 2,2012-2013
DA/UX:EXODUS,DARK AVENGERS/UNCANNY X-MEN: EXODUS,2009
DA/UX:UTOPIA,DARK AVENGERS/UNCANNY X-MEN: UTOPIA,2009
DA:ARES,DARK AVENGERS: ARES,2009-2010
DAKEN:DW,DAKEN: DARK WOLVERINE,2010-2012
DAMCON,DAMAGE CONTROL,1989
DAMCON2,DAMAGE CONTROL VOL. 2,1989-1990
DAMCON3,DAMAGE CONTROL VOL. 3,1991
DAMN:JBGR,DAMNATION: JOHNNY BLAZE GHOST RIDER,2018
DANGEL,DARK ANGEL,1992-1993
DARC,DARING COMICS,1944-1945
DARMC,DARING MYSTERY COMICS,1940-1942
DARMC70A,DARING MYSTERY COMICS 70TH ANNIVERSARY SPECIAL,2009
DAYD,DAYDREAMERS,1997
DAZZ,DAZZLER,1981-1986
DAZZ2,DAZZLER VOL. 2,2010
DAZZ:XS,DAZZLER: X-SONG,2018
DB,DAILY BUGLE,1996-1997
DBCW,DAILY BUGLE CIVIL WAR SPECIAL,2006
DC/M/:AACC,DC/MARVEL: ALL ACCESS,1996-1997
DCLAWS,DRAGON'S CLAWS,1988-1989
DCLWADV,DARK CLAW ADVENTURES,1996
DCV.M/,DC VS. MARVEL,1996
DCUT,DIE-CUT,1993-1994
DCUTV.GF,DIE-CUT VS. G-FORCE,1993
DD,DAREDEVIL,"1964-1998, 2009-2011"
DD2,DAREDEVIL VOL. 2,1998-2009
DD3,DAREDEVIL VOL. 3,2011-2014
DD4,DAREDEVIL VOL. 4,2014-2015
DD5,DAREDEVIL VOL. 5,2016-2017
DD&CA:DOA,DAREDEVIL & CAPTAIN AMERICA: DEAD ON ARRIVAL,2008
DD/BW:A,DAREDEVIL/BLACK WIDOW: ABATTOIR,1993
DD/DP,DAREDEVIL/DEADPOOL,1997
DD/P,DAREDEVIL/PUNISHER,2016
DD/SM,DAREDEVIL/SPIDER-MAN,2001
DD:BJM,DAREDEVIL: BATTLING JACK MURDOCK,2007
DD:BOT,DAREDEVIL: BLOOD OF THE TARANTULA,2008
DD:CM,DAREDEVIL: CAGE MATCH,2010
DD:DN,DAREDEVIL: DARK NIGHTS,2013
DD:EOD,DAREDEVIL: END OF DAYS,2012-2013
DD:F,DAREDEVIL: FATHER,2004-2007
DD:FFG,DAREDEVIL: FALL FROM GRACE TPB,1994
DD:N,DAREDEVIL: NINJA,2000-2001
DD:R,DAREDEVIL: REDEMPTION,2005
DD:T,DAREDEVIL: TARGET,2003
DD:YELLOW,DAREDEVIL: YELLOW,2001-2002
DDB&W,DAREDEVIL BLACK & WHITE,2010
DDEVIL,DARKDEVIL,2000-2001
DDINO,DEVIL DINOSAUR,1978
DDINO2,DEVIL DINOSAUR VOL. 2,1997
DDNOIR,DAREDEVIL NOIR,2009
DDP,DESPICABLE DEADPOOL,2017-2018
DDREBORN,DAREDEVIL REBORN,2011
DDS,DAREDEVILS (British Comic),1981-1983
DDV.P,DAREDEVIL VS PUNISHER,2005-2006
DEATH³,DEATH³,1993
DEATHOFD,DEATH OF DRACULA,2010
DEDGE:A,DOUBLE EDGE: ALPHA,1995
DEDGE:O,DOUBLE EDGE: OMEGA,1995
DEF,DEFENDERS,1972-1983
DEF2,DEFENDERS VOL. 2,2001-2002
DEF3,DEFENDERS VOL. 3,2005-2006
DEF4,DEFENDERS VOL. 4,2012-2013
DEF5,DEFENDERS VOL. 5,2017-2018
DEF:BD,DEFENDERS: THE BEST DEFENSE,2019
DEST4,DESTROYER VOL. 4,2009
DEVILS,DEVILS,2002
DF,DOMINATION FACTOR,1999-2000
DFSM,DEADLY FOES OF SPIDER-MAN,1991
DGUARD,DARK GUARD,1993-1994
DH,DEATH'S HEAD,1988-1989
DH:BIQ,DEATH'S HEAD: BODY IN QUESTION,1990
DHAWK,DARKHAWK,1991-1995
DHGOLD,DEATH'S HEAD GOLD,1994
DHII,DEATH'S HEAD II,1992
DHII2,DEATH'S HEAD II VOL. 2,1992-1994
DHII&ODCUT,DEATH'S HEAD II & ORIGIN OF DIE-CUT,1993
DHKF,DEADLY HANDS OF KUNG FU,1974-1977
DHKF2,DEADLY HANDS OF KUNG FU VOL. 2,2014
DHOLD,DARKHOLD,1992-1994
DIGI,DIGITEK,1992-1993
DISTX,DISTRICT X,2004-2005
DL,DRACULA LIVES! (MAGAZINE),1973-1975
DLINE,DEADLINE,2002
DLOK,DEATHLOK,1990
DLOK2,DEATHLOK VOL. 2,1991-1994
DLOK3,DEATHLOK VOL. 3,1999-2000
DLOK5,DEATHLOK VOL. 5,2014-2015
DML,DEAD MAN LOGAN,2019
DMTL,DEATH METAL,1994
DMTLV.GENE,DEATH METAL VS. GENETIX,1993-1994
DN,DAKOTA NORTH,1986-1987
DOCSAM,DOC SAMSON,1996
DOCSAM2,DOC SAMSON VOL. 2,2006
DOCSAV,DOC SAVAGE,1972-1974
DOCSAV2,DOC SAVAGE VOL. 2 (MAGAZINE),1975-1977
DOD,DAUGHTERS OF THE DRAGON,2006
DOINHS,DEATH OF INHUMANS,2018-2019
DOLLYD,DOLLY DILL,1945
DOMINO,DOMINO,1997
DOMINO2,DOMINO VOL. 2,2003
DOMINO3,DOMINO VOL. 3,2018-2019
DOMINO:HS,DOMINO: HOTSHOTS,2019
DON,DEAD OF NIGHT,1973-1975
DOOM,DOOM,2000
DOOM:ER,DOOM: EMPEROR RETURNS,2002
DOOM2099,DOOM 2099,1993-1996
DOOMWAR,DOOMWAR,2010
DOW,DEATH OF WOLVERINE,2014
DOW:D&CA,DEATH OF WOLVERINE: DEADPOOL & CAPTAIN AMERICA,2014
DOW:LAL,DEATH OF WOLVERINE: LIFE AFTER LOGAN,2015
DOW:LL,DEATH OF WOLVERINE: THE LOGAN LEGACY,2014-2015
DOW:WXP,DEATH OF WOLVERINE: THE WEAPON X PROGRAM,2014-2015
DOX,DEATH OF X,2016-2017
DP,DEADPOOL,1993
DP2,DEADPOOL VOL. 2,1994
DP3,DEADPOOL VOL. 3,1997-2002
DP4,DEADPOOL VOL. 4,2008-2012
DP5,DEADPOOL VOL. 5,2013-2015
DP6,DEADPOOL VOL. 6,2016-2017
DP7,DEADPOOL VOL. 7,2018-2019
DP&C,DEADPOOL & CABLE,2011
DP&C:SS,DEADPOOL & CABLE: SPLIT SECOND,2015-2016
DP/DEATH,DEADPOOL/DEATH,1998
DP/GLI:SUMF,DEADPOOL/GLI SUMMER FUN SPECTACULAR,2007
DP:ASSN,DEADPOOL: ASSASSIN,2018
DP:BIB,DEADPOOL: BACK IN BLACK,2016-2017
DP:DG,DEADPOOL: DRACULA'S GAUNTLET,2014
DP:GOD,DEADPOOL: GAME$ OF DEATH,2009
DP:LDOM,DEADPOOL: LAST DAYS OF MAGIC,2016
DP:MERC,DEADPOOL: MERC WITH A MOUTH,2009-2010
DP:MFM,DEADPOOL: MERCS FOR MONEY,2016
DP:MFM2,DEADPOOL: MERCS FOR MONEY VOL. 2,2016-2017
DP:SK,DEADPOOL: SUICIDE KINGS,2009
DP:TS?,DEADPOOL: TOO SOON?,2016
DPB,DEADPOOL BI-,2014
DPCORPS,DEADPOOL CORPS,2010-2011
DPF,DEADPOOL FAMILY,2011
DPPULP,DEADPOOL PULP,2010-2011
DPSECSECWARS,DEADPOOL'S SECRET SECRET WARS,2015
DPTD,DEADPOOL THE DUCK,2017
DPTU,DEADPOOL TEAM-UP,1998
DPTU2,DEADPOOL TEAM-UP VOL. 2,2010-2011
DPV.CRNG,DEADPOOL VS. CARNAGE,2014
DPV.GAM,DEADPOOL V GAMBIT,2016
DPV.OML,DEADPOOL VS. OLD MAN LOGAN,2017-2018
DPV.P,DEADPOOL VS. PUNISHER,2017
DPV.THANOS,DEADPOOL VS. THANOS,2015
DPV.XFOR,DEADPOOL VS. X-FORCE,2014
DR:CABAL,DARK REIGN: CABAL,2009
DR:EL,DARK REIGN: ELEKTRA,2009
DR:FF,DARK REIGN: FANTASTIC FOUR,2009
DR:GL,DARK REIGN: GOBLIN LEGACY,2009
DR:HAWK,DARK REIGN: HAWKEYE,2009-2010
DR:HOOD,DARK REIGN: HOOD,2009
DR:LL,DARK REIGN: LETHAL LEGION,2009
DR:MM,DARK REIGN: MADE MEN,2009
DR:MN,DARK REIGN: MR. NEGATIVE,2009
DR:NN,DARK REIGN: NEW NATION,2009
DR:SINSM,DARK REIGN: SINISTER SPIDER-MAN,2009
DR:YA,DARK REIGN: YOUNG AVENGERS,2009
DR:Z,DARK REIGN: ZODIAC,2009
DRAFT,DRAFT,1988
DRAX,DRAX,2015
DRAXD,DRAX THE DESTROYER,2005-2006
DRL:A,DARK REIGN LIST: AVENGERS,2009
DRL:ASM,DARK REIGN LIST: AMAZING SPIDER-MAN,2010
DRL:DD,DARK REIGN LIST: DAREDEVIL,2009
DRL:H,DARK REIGN LIST: HULK,2009
DRL:P,DARK REIGN LIST: PUNISHER,2009
DRL:SECWARR,DARK REIGN LIST: SECRET WARRIORS,2009
DRL:W,DARK REIGN LIST: WOLVERINE,2009
DRL:X,DARK REIGN LIST: X-MEN,2009
DRSP,DOCTOR SPECTRUM,2004-2005
DRUID,DRUID,1995
DRV,DOCTOR VOODOO: AVENGER OF THE SUPERNATURAL,2009-2010
DRV:OJD,DOCTOR VOODOO: ORIGIN OF JERICHO DRUMM,2010
DS,DOCTOR STRANGE,1968-1969
DS2,DOCTOR STRANGE VOL. 2 (MASTER OF THE MYSTIC ARTS),1974-1987
DS3,DOCTOR STRANGE VOL. 3 (FLIGHT OF BONES),1999
DS4,DOCTOR STRANGE VOL. 4,2015-2017
DS4 1.MU,DOCTOR STRANGE VOL. 4 1.MU,2017
DS5,DOCTOR STRANGE VOL. 5,2018-2019
DS&SSS,DOCTOR STRANGE AND THE SORCERERS SUPREME,2017
DS/P:MB,DOCTOR STRANGE/PUNISHER: MAGIC BULLETS,2017
DS:BD,DOCTOR STRANGE: THE BEST DEFENSE,2019
DS:DAMN,DOCTOR STRANGE: DAMNATION,2018
DS:LDOM,DOCTOR STRANGE: LAST DAYS OF MAGIC,2016
DS:OATH,DOCTOR STRANGE: OATH,2006-2007
DS:WDS,"DR. STRANGE: WHAT IS IT THAT DISTURBS YOU, STEPHEN?",1997
DSFATE,DOCTOR STRANGEFATE,1996
DSSS,"DOCTOR STRANGE, SORCEROR SUPREME",1988-1996
DSTAR&WG,DARKSTAR & THE WINTER GUARD,2010
DW,DARK WOLVERINE,2009-2010
DWDEMONS,DANCES WITH DEMONS,1993
DWHOMAG,DOCTOR WHO MAGAZINE,
DWPATSY,A DATE WITH PATSY,1957
DWRECK,DEATH WRECK,1994
DX,DARK X-MEN,2010
DX:B,DARK X-MEN: BEGINNING,2009
DX:C,DARK X-MEN: CONFESSION,2009
DZERO,DOCTOR ZERO,1988-1989
E,ETERNALS,1976-1978
E2,ETERNALS VOL. 2,1985-1986
E3,ETERNALS VOL. 3,2006-2007
E4,ETERNALS VOL. 4,2008-2009
E:AN,ETERNALS: APOCALYPSE NOW,1999
E:HEROD,ETERNALS: HEROD FACTOR,1991
EAGLE,EAGLE,1941
EARX,EARTH X,1999-2000
EARX X,EARTH X X,2000
EARXC,EARTH X COLLECTION,2001
EFREXT,E IS FOR EXTINCTION,2015
EFROST,EMMA FROST,2003-2005
EHAGE,ENTER THE HEROIC AGE,2010
EL,ELEKTRA,1996-1998
EL2,ELEKTRA VOL. 2,2001-2004
EL3,ELEKTRA VOL. 3,2014-2015
EL4,ELEKTRA VOL. 4,2017
EL&W:R,ELEKTRA & WOLVERINE: REDEEMER,2002
EL/CYBLADE,ELEKTRA/CYBLADE,1997
EL:A,ELEKTRA: ASSASSIN,1986-1987
EL:G&E,ELEKTRA: GLIMPSE & ECHO,2002
EL:HAND,ELEKTRA: HAND,2004-2005
EL:ROE,ELEKTRA: ROOT OF EVIL,1995
ELIM,ELIMINATOR,1995
ELSAGA,ELEKTRA SAGA,1984
ELVEN,ELVEN,1994-1995
EPICI,EPIC ILLUSTRATED (MAGAZINE),1980-1986
EPICGN:HRT&MND,EPIC GRAPHIC NOVEL: HEARTS AND MINDS,1990
EPICGN:PRBN,EPIC GRAPHIC NOVEL: PUNISHER: RETURN TO BIG NOTHING,1989
ESGEDDON,EDGE OF SPIDER-GEDDON,2018
ESVERSE,EDGE OF SPIDER-VERSE,2015
EUR,EUROPA,1996
EVVERSE,EDGE OF VENOMVERSE,2017
EX,EXILES,1993
EX2,EXILES VOL. 2,2001-2008
EX3,EXILES VOL. 3,2008-2009
EX4,EXILES VOL. 4,2018-2019
EX ∞,EXILES ∞,1995
EX:DTN,EXILES: DAYS OF THEN AND NOW,2008
EXD,EXILED,2012
EXPAT,EXCITING X-PATROL,1996
EXTRMNTN,EXTERMINATION,2018-2019
EXX,EXTRAORDINARY X-MEN,2015-2017
F,FURY,1994
F2,FURY VOL. 2,2001-2002
F.F.,FF,2011-2012
F.F.2,FF VOL. 2,2013-2014
F/AGENT13,FURY/AGENT 13,1998
F/BW:DD,FURY/BLACK WIDOW: DEATH DUTY,1995
F:PM,FURY: PEACEMAKER,2006
FACY&PHX,FURTHER ADVENTURES OF CYCLOPS & PHOENIX,1996
FAL,FALCON,1983-1984
FAL2,FALCON VOL. 2,2017-2018
FALLEN,THE FALLEN,2016
FANGELS,FALLEN ANGELS,1987
FARM,FIREARM,1993-1995
FC,FRANKEN-CASTLE,2010
FCBD09:A,FREE COMIC BOOK DAY 2009: AVENGERS,2009
FCBD09:W,FREE COMIC BOOK DAY 2009: WOLVERINE,2009
FCBD10:IM/T,FREE COMIC BOOK DAY 2010: IRON MAN/THOR,2010
FCBD11:ASM,FREE COMIC BOOK DAY 2011: ASM,2011
FCBD14:GOTG,FREE COMIC BOOK DAY 2014: GUARDIANS OF THE GALAXY,2014
FCBD15:A,FREE COMIC BOOK DAY 2015: AVENGERS,2015
FCBD16:CA,FREE COMIC BOOK DAY 2016: CAPTAIN AMERICA,2016
FCBD16:CWII,FREE COMIC BOOK DAY 2016: CIVIL WAR II,2016
FCBD17:ANGOTG,FREE COMIC BOOK DAY 2017: ALL-NEW GUARDIANS OF THE GALAXY,2017
FCBD17:SECEMP,FREE COMIC BOOK DAY 2017: SECRET EMPIRE,2017
FCBD18:A/CA,FREE COMIC BOOK DAY 2018: AVENGERS/CAPTAIN AMERICA,2018
FCBD18:ASM,FREE COMIC BOOK DAY 2018: AMAZING SPIDER-MAN,2018
FF,FANTASTIC FOUR,"1961-1996, 2003-2012"
FF2,FANTASTIC FOUR VOL. 2,1996-1997
FF3,FANTASTIC FOUR VOL. 3,1998-2003
FF4,FANTASTIC FOUR VOL. 4,2013-2014
FF4 5AU,FANTASTIC FOUR VOL. 4 5AU,2013
FF5,FANTASTIC FOUR VOL. 5,2014-2015
FF6,FANTASTIC FOUR VOL. 6,2018-
FF SPEC,FANTASTIC FOUR SPECIAL,2006
FF&PP,FANTASTIC FOUR & POWER PACK,2007
FF/FF,FANTASTIC FOUR/FANTASTIC FOUR,1998
FF/IM:BIJ,FANTASTIC FOUR/IRON MAN: BIG IN JAPAN,2005-2006
FF:ADM,FANTASTIC FOUR: ATAQUE DEL M.O.D.O.K.,2010
FF:AR,FANTASTIC FOUR: ATLANTIS RISING,1995
FF:DEATH,FANTASTIC FOUR: DEATH IN THE FAMILY,2006
FF:FF,FANTASTIC FOUR: FIRST FAMILY,2006
FF:FOES,FANTASTIC FOUR: FOES,2005
FF:HOM,FANTASTIC FOUR: HOUSE OF M,2005
FF:IDLM,FANTASTIC FOUR: ISLA DE LA MUERTE,2008
FF:NGOA,FANTASTIC FOUR: NOBODY GETS OUT ALIVE TPB,1994
FF:SE,FANTASTIC FOUR: SPECIAL EDITION,1984
FF:TS,FANTASTIC FOUR: TRUE STORY,2008-2009
FF2099,FANTASTIC FOUR 2099,1996
FFC-S,FANTASTIC FOUR COSMIC-SIZE,2009
FFFR,FIN FANG FOUR RETURN!,2009
FFIVE,FANTASTIC FIVE,1999-2000
FFIVE2,FANTASTIC FIVE VOL. 2,2007
FFOR,FANTASTIC FORCE,1994-1996
FFOR2,FANTASTIC FORCE VOL. 2,2009
FFROAST,FANTASTIC FOUR ROAST,1982
FFSINBAD,FANTASTIC 4TH VOYAGE OF SINBAD,2001
FFU,FANTASTIC FOUR UNLIMITED,1993-1995
FFUP,FANTASTIC FOUR UNPLUGGED,1995-1996
FFV.X,FANTASTIC FOUR VS. X-MEN,1987
FFWED,FANTASTIC FOUR WEDDING SPECIAL,2006
FFWED2,FANTASTIC FOUR WEDDING SPECIAL VOL. 2,2019
FFWGCM,FANTASTIC FOUR WORLD'S GREATEST COMIC MAGAZINE,2001-2002
FHEMSM/U,FRED HEMBECK $ELL$ THE MARVEL UNIVERSE,1990
FHEMDM/U,FRED HEMBECK DESTROYS THE MARVEL UNIVERSE,1989
FI,FEAR ITSELF,2011
FI:BSKULL,FEAR ITSELF: BOOK OF THE SKULL,2011
FI:BW,FEAR ITSELF: BLACK WIDOW,2011
FI:DEEP,FEAR ITSELF: DEEP,2011
FI:DP,FEAR ITSELF: DEADPOOL,2011
FI:F.F.,FEAR ITSELF: FF,2011
FI:FSHIPF,FEAR ITSELF: FELLOWSHIP OF FEAR,2011
FI:FLSS,FEAR ITSELF: FEARLESS,2011-2012
FI:FSOMEF,FEAR ITSELF: FEARSOME FOUR,2011
FI:HF,FEAR ITSELF: HOME FRONT,2011
FI:HV.D,FEAR ITSELF: HULK VS. DRACULA,2011
FI:MK,FEAR ITSELF: MONKEY KING,2011
FI:SM,FEAR ITSELF: SPIDER-MAN,2011
FI:SP,FEAR ITSELF: SINS PAST,2011
FI:UXFOR,FEAR ITSELF: UNCANNY X-FORCE,2011
FI:W,FEAR ITSELF: WOLVERINE,2011
FI:WORTHY,FEAR ITSELF: WORTHY,2011
FI:YIR,FEAR ITSELF: YOUTH IN REVOLT,2011
FIGHT-MAN,FIGHT-MAN,1993
FFNDTN,FUTURE FOUNDATION,2019-2020
FIMP,FUTURE IMPERFECT,2015
FIRSTX,FIRST X-MEN,2012-2013
FLANE,FAST LANE,1999-2000
FLOOD,FLOOD RELIEF,1994
FLSSDEF,FEARLESS DEFENDERS,2013-2014
FLSSDEF 4AU,FEARLESS DEFENDERS 4AU,2013
FMAX,FURY MAX,2012-2013
FMON,FRANKENSTEIN MONSTER,1973-1975
FNSM,FRIENDLY NEIGHBORHOOD SPIDER-MAN,2005-2007
FNSM2,FRIENDLY NEIGHBORHOOD SPIDER-MAN VOL. 2,2019-2020
FOHS:A,FALL OF THE HULKS: ALPHA,2010
FOHS:G,FALL OF THE HULKS: GAMMA,2010
FOHS:RH,FALL OF THE HULKS: RED HULK,2010
FOHS:SAVSHS,FALL OF THE HULKS: SAVAGE SHE-HULKS,2010
FOOL,FOOLKILLER,1990-1991
FOOL2,FOOLKILLER VOL. 2,2007-2008
FOOL3,FOOLKILLER VOL. 3,2017
FOOL:WA,FOOLKILLER: WHITE ANGELS,2008-2009
FORTUNE,DOMINIC FORTUNE,2009-2010
FORTUNE:ICHH&N,DOMINIC FORTUNE: IT CAN HAPPEN HERE AND NOW TPB,2010
FOS,FURY OF S.H.I.E.L.D.,1995
FOUR,MARVEL KNIGHTS: 4,2004-2006
FOXFIRE,FOXFIRE,1996
FRANK,FRANKLIN RICHARDS (EVERYBODY LOVES FRANKLIN),2006
FRANK:AF,FRANKLIN RICHARDS: APRIL FOOLS!,2009
FRANK:DRC&D,FRANKLIN RICHARDS: DARK REIGNING CATAS AND DOGS,2008
FRANK:FFF,FRANKLIN RICHARDS: FALL FOOTBALL FIASCO,2008
FRANK:HF,FRANKLIN RICHARDS: HAPPY FRANKSGIVING,2007
FRANK:MAMA,FRANKLIN RICHARDS: MARCH MADNESS!,2007
FRANK:MM,FRANKLIN RICHARDS: MONSTER MASH,2007
FRANK:NSSI,FRANKLIN RICHARDS: NOT-SO-SECRET INVASION,2008
FRANK:SB,FRANKLIN RICHARDS: SPRING BREAK,2008
FRANK:SO,FRANKLIN RICHARDS: SCHOOL'S OUT!,2009
FRANK:SOG,FRANKLIN RICHARDS: SONS OF GENIUSES!,2009
FRANK:SS,FRANKLIN RICHARDS: SUMMER SMACKDOWN!,2008
FRANK:SSS,FRANKLIN RICHARDS: SUPER SUMMER SPECTACULAR,2006
FRANK:WBW,FRANKLIN RICHARDS: WORLD BE WARNED,2007
FRANKIE&LANAC,FRANKIE & LANA COMICS,1948-1949
FRANKIEC,FRANKIE COMICS,1946-1948
FREEX,FREEX,1993-1995
FSON:A,FALLEN SON: AVENGERS,2007
FSON:CA,FALLEN SON: CAPTAIN AMERICA,2007
FSON:IM,FALLEN SON: IRON MAN,2007
FSON:SM,FALLEN SON: SPIDER-MAN,2007
FSON:W,FALLEN SON: WOLVERINE,2007
FSTAR,FIRESTAR,1986
FSTAR2,FIRESTAR VOL. 2,2010
FUFIF:CRSCNT&IO,FUTURE FIGHT FIRSTS: CRESCENT & IO,2020
FUFIF:LSNOW,FUTURE FIGHT FIRSTS: LUNA SNOW,2019
FUFIF:WFOX,FUTURE FIGHT FIRSTS: WHITE FOX,2019
FW,FORCE WORKS,1994-1996
FW ASH,FORCE WORKS ASHCAN,1994
FX,FACTOR X,1995
G3000,GUARDIANS 3000,2015
GALG,GALACTIC GUARDIANS,1994
GAM,GAMBIT,1993-1994
GAM2,GAMBIT VOL. 2,1997
GAM3,GAMBIT VOL. 3,1999-2001
GAM4,GAMBIT VOL. 4,2004-2005
GAM5,GAMBIT VOL. 5,2012-2013
